               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.02322,             0.03583,           0.0027491,             0.75961,             0.59763,              0.5957,             0.40085,            0.023058,            0.033754,            0.005592,              0.0064,              0.0064,              0.0064
                  82,            0.022693,             0.03519,           0.0024632,             0.78843,             0.61992,             0.62069,             0.39537,            0.024809,            0.033774,           0.0054916,            0.006355,            0.006355,            0.006355
                  83,            0.022445,             0.03464,           0.0024783,             0.80159,             0.61422,             0.62444,             0.38952,            0.023986,            0.033128,           0.0052071,             0.00631,             0.00631,             0.00631
                  84,            0.021972,            0.033864,            0.002747,              0.8165,             0.58203,              0.5949,             0.37793,            0.024162,            0.033274,           0.0053715,            0.006265,            0.006265,            0.006265
                  85,            0.022374,            0.034051,           0.0028044,             0.81045,             0.56786,             0.59691,             0.38774,            0.024556,            0.033741,           0.0053825,             0.00622,             0.00622,             0.00622
                  86,            0.021981,            0.034104,            0.002736,             0.74588,             0.60227,             0.58413,             0.37735,            0.024368,            0.034014,           0.0057045,            0.006175,            0.006175,            0.006175
                  87,            0.021983,            0.034878,           0.0023962,              0.7531,              0.6111,             0.60468,             0.39278,             0.02386,            0.033362,            0.006208,             0.00613,             0.00613,             0.00613
                  88,            0.022015,             0.03488,           0.0026246,             0.73106,             0.66371,             0.63218,             0.39193,            0.024176,            0.033782,           0.0062016,            0.006085,            0.006085,            0.006085
                  89,            0.022126,            0.033906,           0.0024443,             0.73613,             0.65563,             0.65974,             0.43104,            0.023181,             0.03464,           0.0057671,             0.00604,             0.00604,             0.00604
                  90,             0.02138,            0.034237,           0.0024713,             0.73318,             0.63603,             0.64918,             0.40602,            0.024476,            0.035304,           0.0059757,            0.005995,            0.005995,            0.005995
                  91,            0.020925,            0.033626,           0.0024985,             0.75059,             0.62388,             0.60709,             0.39621,            0.023459,            0.034908,           0.0060444,             0.00595,             0.00595,             0.00595
                  92,             0.02153,            0.034159,           0.0023913,             0.74053,             0.62868,             0.59431,             0.38254,             0.02393,            0.035241,           0.0058712,            0.005905,            0.005905,            0.005905
                  93,            0.021042,            0.035918,           0.0024146,              0.7691,             0.62148,             0.63664,             0.42217,            0.022598,            0.033634,           0.0059872,             0.00586,             0.00586,             0.00586
                  94,             0.02093,            0.033393,           0.0022782,               0.765,             0.60519,             0.65003,             0.41432,            0.024024,            0.033681,           0.0059196,            0.005815,            0.005815,            0.005815
                  95,            0.021466,            0.033685,           0.0024193,             0.79202,             0.61363,             0.67918,             0.44398,            0.023224,            0.033975,           0.0055187,             0.00577,             0.00577,             0.00577
                  96,            0.021246,            0.035253,           0.0021773,             0.75127,             0.59487,             0.62984,               0.417,            0.023397,            0.034609,           0.0058861,            0.005725,            0.005725,            0.005725
                  97,            0.021087,            0.032554,           0.0021308,             0.71898,             0.63479,             0.63228,             0.41901,            0.022769,            0.034201,           0.0063038,             0.00568,             0.00568,             0.00568
                  98,            0.020521,            0.032664,           0.0021115,             0.72046,             0.66951,             0.63379,             0.41935,            0.023369,             0.03406,           0.0062054,            0.005635,            0.005635,            0.005635
                  99,            0.020512,            0.032944,           0.0022735,             0.72353,             0.63053,             0.60495,             0.40893,            0.022367,            0.033897,           0.0059269,             0.00559,             0.00559,             0.00559
                 100,             0.02004,            0.031722,           0.0022296,             0.75387,             0.58583,             0.57479,             0.36286,            0.025108,            0.035493,           0.0061058,            0.005545,            0.005545,            0.005545
                 101,            0.019679,            0.033715,           0.0023764,             0.76577,             0.59753,             0.58463,              0.3839,            0.023476,            0.035179,            0.006152,              0.0055,              0.0055,              0.0055
                 102,            0.020428,            0.031115,           0.0021594,             0.73517,             0.58594,             0.57762,             0.37914,            0.023394,            0.034856,           0.0061901,            0.005455,            0.005455,            0.005455
